game_id,team_id,sub_count,avg_sub,total_shots_secondHalf,total_sub_time,shots_before_avgSub,shots_after_avgSub,spm_before,spm_after,spm_diff
1834403,7614,5,68.2,9.0,109,5.0,4.0,0.21551724137931033,0.1834862385321101,-0.03203100284720023
1834404,33,5,58.4,10.0,158,1.0,9.0,0.0746268656716418,0.28481012658227844,0.21018326091063666
1834404,283,4,63.25,6.0,110,2.0,4.0,0.1095890410958904,0.14953271028037382,0.039943669184483416
1834405,42,5,56.8,11.0,166,3.0,8.0,0.25423728813559326,0.24096385542168672,-0.013273432713906547
1834405,1211,4,79.75,4.0,41,4.0,0.0,0.11510791366906475,0.0,-0.11510791366906475
1834406,134,5,71.6,7.0,92,3.0,4.0,0.11278195488721807,0.21739130434782603,0.10460934946060796
1834406,219,5,78.0,10.0,60,7.0,3.0,0.21212121212121213,0.25,0.03787878787878787
1834407,41,5,65.6,3.0,124,1.0,2.0,0.04854368932038836,0.08196721311475408,0.033423523794365716
1834407,1206,5,71.8,9.0,91,5.0,4.0,0.1865671641791045,0.21978021978021975,0.03321305560111526
1834408,1730,3,70.66666666666667,6.0,58,3.0,3.0,0.11688311688311687,0.15517241379310348,0.038289296909986614
1834408,7614,5,72.4,8.0,88,5.0,3.0,0.1824817518248175,0.1704545454545455,-0.012027206370271992
1834409,36,3,61.666666666666664,14.0,85,6.0,8.0,0.36000000000000004,0.2823529411764706,-0.07764705882352946
1834409,41,5,74.8,6.0,76,3.0,3.0,0.10067114093959732,0.19736842105263155,0.09669728011303423
1834410,134,5,65.4,2.0,123,0.0,2.0,0.0,0.0813008130081301,0.0813008130081301
1834410,796,5,56.8,13.0,166,5.0,8.0,0.4237288135593221,0.24096385542168672,-0.1827649581376354
1834411,37,4,76.25,10.0,61,8.0,2.0,0.256,0.14545454545454545,-0.11054545454545456
1834411,1730,5,70.6,4.0,97,2.0,2.0,0.07812500000000001,0.1030927835051546,0.024967783505154592
1834412,44,3,58.0,20.0,96,5.0,15.0,0.38461538461538464,0.46875,0.08413461538461536
1834412,7614,5,73.0,4.0,85,2.0,2.0,0.07142857142857142,0.11764705882352941,0.046218487394957986
1834413,44,5,61.0,8.0,145,2.0,6.0,0.125,0.20689655172413793,0.08189655172413793
1834413,109,4,84.25,9.0,23,9.0,0.0,0.22929936305732485,0.0,-0.22929936305732485
1834414,1206,5,56.0,11.0,170,1.0,10.0,0.09090909090909091,0.29411764705882354,0.20320855614973263
1834414,4852,4,82.25,8.0,31,7.0,1.0,0.18791946308724833,0.12903225806451613,-0.0588872050227322
1834415,50,3,79.66666666666667,2.0,32,2.0,0.0,0.05769230769230768,0.0,-0.05769230769230768
1834415,283,5,80.4,4.0,48,2.0,2.0,0.05649717514124293,0.20833333333333345,0.1518361581920905
1834416,219,4,76.5,6.0,55,4.0,2.0,0.12698412698412698,0.14814814814814814,0.021164021164021163
1834416,1206,4,74.5,4.0,62,2.0,2.0,0.06779661016949153,0.12903225806451613,0.0612356478950246
1834417,42,5,75.0,11.0,75,5.0,6.0,0.16666666666666666,0.4,0.23333333333333336
1834417,134,5,75.8,5.0,71,3.0,2.0,0.09740259740259741,0.1408450704225352,0.04344247301993778
1834418,33,3,80.0,4.0,30,2.0,2.0,0.05714285714285714,0.2,0.14285714285714288
1834418,796,4,70.5,7.0,78,4.0,3.0,0.1568627450980392,0.15384615384615385,-0.003016591251885359
1834419,37,5,67.0,11.0,115,6.0,5.0,0.2727272727272727,0.21739130434782608,-0.055335968379446626
1834419,45,5,60.0,3.0,150,2.0,1.0,0.13333333333333333,0.03333333333333333,-0.1
1834420,33,4,73.5,11.0,66,3.0,8.0,0.10526315789473684,0.48484848484848486,0.379585326953748
1834420,1730,4,79.75,6.0,41,6.0,0.0,0.17266187050359713,0.0,-0.17266187050359713
1834421,41,5,75.6,6.0,72,5.0,1.0,0.16339869281045755,0.06944444444444442,-0.09395424836601313
1834421,109,5,63.4,7.0,133,4.0,3.0,0.2173913043478261,0.11278195488721804,-0.10460934946060807
1834422,50,4,69.75,12.0,81,9.0,3.0,0.36363636363636365,0.14814814814814814,-0.2154882154882155
1834422,219,1,45.0,7.0,45,0.0,7.0,0.0,0.15555555555555556,0.15555555555555556
1834423,4852,5,79.6,1.0,57,1.0,0.0,0.02890173410404625,0.0,-0.02890173410404625
1834423,7614,3,63.333333333333336,7.0,80,3.0,4.0,0.1636363636363636,0.15000000000000002,-0.013636363636363585
1834424,37,2,72.5,10.0,35,7.0,3.0,0.2545454545454545,0.17142857142857143,-0.08311688311688309
1834424,796,5,70.6,6.0,97,2.0,4.0,0.07812500000000001,0.2061855670103092,0.1280605670103092
1834425,134,5,72.8,2.0,86,2.0,0.0,0.07194244604316548,0.0,-0.07194244604316548
1834425,283,4,72.0,15.0,72,8.0,7.0,0.2962962962962963,0.3888888888888889,0.09259259259259262
1834426,44,5,77.6,12.0,62,8.0,4.0,0.24539877300613502,0.32258064516129015,0.07718187215515512
1834426,796,5,67.0,2.0,115,2.0,0.0,0.09090909090909091,0.0,-0.09090909090909091
1834427,36,5,66.4,9.0,118,5.0,4.0,0.23364485981308405,0.16949152542372886,-0.0641533343893552
1834427,796,5,70.8,4.0,96,2.0,2.0,0.07751937984496125,0.10416666666666666,0.026647286821705404
1834428,41,3,78.0,10.0,36,9.0,1.0,0.2727272727272727,0.08333333333333333,-0.1893939393939394
1834428,1211,3,78.33333333333333,6.0,35,3.0,3.0,0.09000000000000001,0.25714285714285706,0.16714285714285704
1834429,45,5,70.6,11.0,97,5.0,6.0,0.19531250000000006,0.3092783505154638,0.11396585051546376
1834429,109,5,66.8,8.0,116,3.0,5.0,0.13761467889908258,0.21551724137931033,0.07790256248022775
1834430,41,5,65.2,4.0,124,3.0,1.0,0.14851485148514848,0.040322580645161296,-0.10819227083998718
1834430,42,4,83.75,8.0,26,6.0,2.0,0.15483870967741936,0.32,0.16516129032258065
1834431,42,5,66.8,1.0,116,0.0,1.0,0.0,0.043103448275862065,0.043103448275862065
1834431,50,5,75.6,9.0,72,6.0,3.0,0.19607843137254904,0.20833333333333326,0.012254901960784215
1834432,45,4,62.75,7.0,109,2.0,5.0,0.11267605633802817,0.1834862385321101,0.07081018219408193
1834432,283,4,74.75,1.0,61,0.0,1.0,0.0,0.06557377049180328,0.06557377049180328
1834433,37,4,64.25,15.0,103,4.0,11.0,0.2077922077922078,0.42718446601941745,0.21939225822720965
1834433,44,4,75.0,7.0,60,5.0,2.0,0.16666666666666666,0.13333333333333333,-0.033333333333333326
1834434,33,5,65.2,9.0,124,2.0,7.0,0.099009900990099,0.28225806451612906,0.18324816352603007
1834434,109,4,86.75,5.0,19,5.0,0.0,0.11976047904191617,0.0,-0.11976047904191617
1834435,42,4,82.25,15.0,31,14.0,1.0,0.37583892617449666,0.12903225806451613,-0.24680666810998053
1834435,7614,4,75.0,11.0,60,6.0,5.0,0.2,0.3333333333333333,0.1333333333333333
1834436,45,5,66.6,9.0,117,3.0,6.0,0.13888888888888892,0.25641025641025633,0.11752136752136741
1834436,4852,5,59.8,9.0,151,5.0,4.0,0.3378378378378379,0.1324503311258278,-0.2053875067120101
1834437,219,4,66.0,8.0,96,3.0,5.0,0.14285714285714285,0.20833333333333334,0.0654761904761905
1834437,283,4,72.75,5.0,69,3.0,2.0,0.10810810810810811,0.11594202898550725,0.007833920877399134
1834438,33,5,61.8,9.0,141,3.0,6.0,0.1785714285714286,0.21276595744680848,0.03419452887537988
1834438,1211,3,82.66666666666667,8.0,23,7.0,1.0,0.18584070796460175,0.13636363636363646,-0.04947707160096529
1834439,219,3,62.333333333333336,10.0,83,2.0,8.0,0.11538461538461536,0.28915662650602414,0.17377201112140878
1834439,1211,4,77.0,6.0,52,5.0,1.0,0.15625,0.07692307692307693,-0.07932692307692307
1834440,134,5,63.0,2.0,135,0.0,2.0,0.0,0.07407407407407407,0.07407407407407407
1834440,1730,5,63.0,12.0,135,5.0,7.0,0.2777777777777778,0.25925925925925924,-0.018518518518518545
1834441,796,5,60.2,7.0,149,1.0,6.0,0.06578947368421051,0.20134228187919465,0.13555280819498414
1834441,4852,5,82.0,7.0,40,7.0,0.0,0.1891891891891892,0.0,-0.1891891891891892
1834442,33,4,77.5,10.0,50,8.0,2.0,0.24615384615384617,0.16,-0.08615384615384616
1834442,7614,5,75.2,8.0,74,4.0,4.0,0.1324503311258278,0.27027027027027034,0.13781993914444254
1834443,109,5,55.2,8.0,174,2.0,6.0,0.19607843137254896,0.1724137931034483,-0.023664638269100674
1834443,219,5,76.8,11.0,66,7.0,4.0,0.22012578616352202,0.303030303030303,0.08290451686678096
1834444,50,5,70.0,14.0,100,7.0,7.0,0.28,0.35,0.06999999999999995
1834444,134,5,68.0,6.0,110,1.0,5.0,0.043478260869565216,0.22727272727272727,0.18379446640316205
1834445,50,5,77.0,1.0,75,1.0,0.0,0.03125,0.0,-0.03125
1834445,1206,4,71.5,11.0,74,3.0,8.0,0.11320754716981132,0.43243243243243246,0.31922488526262116
1834446,109,3,82.66666666666667,19.0,22,11.0,8.0,0.29203539823008845,1.0909090909090917,0.7988736926790032
1834446,1730,5,66.8,7.0,116,1.0,6.0,0.045871559633027525,0.2586206896551724,0.21274913002214485
1834447,41,5,71.6,9.0,92,4.0,5.0,0.15037593984962408,0.27173913043478254,0.12136319058515846
1834447,7614,4,75.75,3.0,57,2.0,1.0,0.06504065040650407,0.07017543859649122,0.005134788189987152
1834448,283,4,63.25,6.0,107,3.0,3.0,0.1643835616438356,0.11214953271028037,-0.052234028933555235
1834448,1206,5,67.0,1.0,115,0.0,1.0,0.0,0.043478260869565216,0.043478260869565216
1834449,44,5,78.8,12.0,56,12.0,0.0,0.3550295857988166,0.0,-0.3550295857988166
1834449,1206,5,64.2,1.0,129,1.0,0.0,0.05208333333333333,0.0,-0.05208333333333333
1834450,1206,5,74.6,6.0,77,3.0,3.0,0.10135135135135137,0.19480519480519473,0.09345384345384336
1834450,7614,5,68.0,7.0,114,2.0,5.0,0.08695652173913043,0.22727272727272727,0.14031620553359683
1834451,37,5,67.4,9.0,113,4.0,5.0,0.17857142857142852,0.2212389380530974,0.04266750948166889
1834451,1211,5,69.6,5.0,102,3.0,2.0,0.12195121951219515,0.09803921568627448,-0.023912003825920666
1834452,44,5,62.0,8.0,140,4.0,4.0,0.23529411764705882,0.14285714285714285,-0.09243697478991597
1834452,134,5,74.2,3.0,79,1.0,2.0,0.03424657534246575,0.1265822784810127,0.09233570313854694
