season,season_label,game_id,team,home_away,avg_age,goals,shots,goals_per_shot
2425,2024/2025,711520,1. FC Union Berlin,home,27.86028129208894,0,12,0.0
2425,2024/2025,711520,SC Freiburg,away,26.786376832117824,0,14,0.0
2425,2024/2025,711521,Bayern Munich,away,25.752305028787696,1,13,0.07692307692307693
2425,2024/2025,711521,St. Pauli,home,26.03293473446874,0,3,0.0
2425,2024/2025,711522,1. FC Heidenheim 1846,away,27.525124501404328,2,6,0.3333333333333333
2425,2024/2025,711522,Bayer Leverkusen,home,25.419178203175026,5,20,0.25
2425,2024/2025,711523,Borussia Dortmund,home,25.172347707049965,4,19,0.21052631578947367
2425,2024/2025,711523,SC Freiburg,away,26.786376832117824,0,7,0.0
2425,2024/2025,711524,Borussia Mönchengladbach,home,25.844650569992208,2,15,0.13333333333333333
2425,2024/2025,711524,St. Pauli,away,26.03293473446874,0,15,0.0
2425,2024/2025,711525,Eintracht Frankfurt,home,25.047501711156745,1,15,0.06666666666666667
2425,2024/2025,711525,Werder Bremen,away,26.069900752908968,0,8,0.0
2425,2024/2025,711526,Bayern Munich,home,25.752305028787696,3,33,0.09090909090909091
2425,2024/2025,711526,FC Augsburg,away,26.066674719168983,0,2,0.0
2425,2024/2025,711527,Holstein Kiel,home,26.528991884228024,0,7,0.0
2425,2024/2025,711527,Mainz,away,27.409015351520484,3,18,0.16666666666666666
2425,2024/2025,711528,RB Leipzig,away,24.251334702258728,3,14,0.21428571428571427
2425,2024/2025,711528,TSG Hoffenheim,home,25.51605227991265,4,20,0.2
2425,2024/2025,711529,VfB Stuttgart,home,24.942505133470227,2,15,0.13333333333333333
2425,2024/2025,711529,VfL Bochum,away,27.461173301538935,0,9,0.0
2425,2024/2025,711530,1. FC Union Berlin,away,27.86028129208894,0,11,0.0
2425,2024/2025,711530,VfL Wolfsburg,home,25.167576024249534,1,10,0.1
2425,2024/2025,711531,1. FC Heidenheim 1846,home,27.525124501404328,0,8,0.0
2425,2024/2025,711531,Eintracht Frankfurt,away,25.047501711156745,4,14,0.2857142857142857
2425,2024/2025,711532,VfB Stuttgart,away,24.942505133470227,2,10,0.2
2425,2024/2025,711532,Werder Bremen,home,26.069900752908968,2,20,0.1
2425,2024/2025,711533,Borussia Mönchengladbach,away,25.844650569992208,1,15,0.06666666666666667
2425,2024/2025,711533,SC Freiburg,home,26.786376832117824,3,17,0.17647058823529413
2425,2024/2025,711534,RB Leipzig,home,24.251334702258728,1,9,0.1111111111111111
2425,2024/2025,711534,VfL Wolfsburg,away,25.167576024249534,5,13,0.38461538461538464
2425,2024/2025,711535,1. FC Union Berlin,home,27.86028129208894,1,8,0.125
2425,2024/2025,711535,Bayer Leverkusen,away,25.419178203175026,2,8,0.25
2425,2024/2025,711536,FC Augsburg,home,26.066674719168983,1,16,0.0625
2425,2024/2025,711536,VfL Bochum,away,27.461173301538935,0,7,0.0
2425,2024/2025,711537,Bayern Munich,away,25.752305028787696,1,14,0.07142857142857142
2425,2024/2025,711537,Borussia Dortmund,home,25.172347707049965,1,7,0.14285714285714285
2425,2024/2025,711538,Mainz,home,27.409015351520484,2,18,0.1111111111111111
2425,2024/2025,711538,TSG Hoffenheim,away,25.51605227991265,0,10,0.0
2425,2024/2025,711539,Holstein Kiel,away,26.528991884228024,1,10,0.1
2425,2024/2025,711539,St. Pauli,home,26.03293473446874,3,11,0.2727272727272727
2425,2024/2025,711540,Bayer Leverkusen,home,25.419178203175026,2,6,0.3333333333333333
2425,2024/2025,711540,St. Pauli,away,26.03293473446874,1,12,0.08333333333333333
2425,2024/2025,711541,Eintracht Frankfurt,home,25.047501711156745,2,16,0.125
2425,2024/2025,711541,FC Augsburg,away,26.066674719168983,2,8,0.25
2425,2024/2025,711542,1. FC Heidenheim 1846,away,27.525124501404328,2,2,1.0
2425,2024/2025,711542,Bayern Munich,home,25.752305028787696,4,21,0.19047619047619047
2425,2024/2025,711543,Holstein Kiel,home,26.528991884228024,0,17,0.0
2425,2024/2025,711543,RB Leipzig,away,24.251334702258728,2,9,0.2222222222222222
2425,2024/2025,711544,SC Freiburg,away,26.786376832117824,1,11,0.09090909090909091
2425,2024/2025,711544,TSG Hoffenheim,home,25.51605227991265,1,15,0.06666666666666667
2425,2024/2025,711545,1. FC Union Berlin,away,27.86028129208894,2,14,0.14285714285714285
