game_id,team_id,sub_count,avg_sub,total_shots_secondHalf,total_sub_time
1834453,42,5,76.2,5.0,69
1834453,4852,5,51.4,13.0,193
1834454,37,5,65.2,6.0,124
1834454,4852,5,63.0,2.0,135
1834455,45,4,80.75,6.0,37
1834455,50,4,73.0,4.0,68
1834456,42,4,72.25,9.0,71
1834456,109,5,76.0,5.0,70
1834457,796,5,69.2,4.0,104
1834457,1730,5,68.8,11.0,106
1834458,50,5,78.0,3.0,60
1834458,1211,5,62.4,10.0,138
1834459,36,4,50.0,5.0,160
1834459,219,5,85.8,9.0,24
1834460,45,3,48.333333333333336,8.0,125
1834460,1730,4,70.75,6.0,77
1834461,33,4,75.25,7.0,60
1834461,134,5,72.0,7.0,90
1834462,33,5,68.6,5.0,107
1834462,219,4,82.25,10.0,32
1834463,109,5,73.2,4.0,84
1834463,283,5,55.6,2.0,172
1834464,41,3,83.33333333333333,4.0,20
1834464,796,4,81.5,6.0,35
1834465,36,3,80.33333333333333,4.0,29
1834465,283,4,80.5,6.0,38
1834466,36,5,71.0,5.0,95
1834466,1730,5,63.0,8.0,135
1834467,41,4,69.25,11.0,83
1834467,4852,5,79.6,4.0,54
1834468,37,5,73.8,7.0,81
1834468,219,5,71.4,6.0,93
1834469,45,5,78.8,5.0,56
1834469,7614,5,66.6,5.0,117
1834470,44,5,74.0,6.0,80
1834470,1211,4,61.25,6.0,115
1834471,42,4,78.5,8.0,46
1834471,283,5,76.6,3.0,67
1834472,33,5,69.8,2.0,101
1834472,50,5,68.4,7.0,108
1834473,109,4,61.0,6.0,116
1834473,796,5,83.2,4.0,42
1834474,134,5,69.8,10.0,101
1834474,1206,5,75.2,12.0,74
1834475,37,3,69.0,11.0,63
1834475,7614,5,76.8,2.0,66
1834476,33,5,71.4,6.0,93
1834476,44,5,75.6,9.0,72
1834477,109,5,71.4,8.0,105
1834477,4852,5,64.8,9.0,126
1834478,36,4,61.0,6.0,116
1834478,50,4,76.0,2.0,56
1834479,1206,4,59.75,2.0,121
1834479,1730,5,61.6,21.0,142
1834480,45,4,80.5,3.0,40
1834480,219,5,54.8,8.0,176
1834481,134,5,77.8,5.0,61
1834481,1211,3,85.33333333333333,15.0,17
1834482,42,5,82.0,4.0,40
1834482,796,5,75.4,9.0,73
1834483,41,5,72.4,12.0,88
1834483,283,3,78.33333333333333,2.0,41
1834484,36,5,67.2,5.0,114
1834484,44,5,74.4,5.0,78
1834485,41,5,45.6,16.0,222
1834485,1730,4,67.25,3.0,91
1834486,37,5,76.0,14.0,72
1834486,134,5,71.0,10.0,95
1834487,36,2,74.5,10.0,31
1834487,219,5,58.0,6.0,160
1834488,50,5,71.2,7.0,94
1834488,1211,4,75.0,8.0,60
1834489,41,5,70.8,9.0,96
1834489,7614,4,67.25,1.0,91
1834490,33,5,68.2,8.0,109
1834490,219,4,64.5,6.0,102
1834491,37,5,62.2,14.0,139
1834491,1211,5,57.2,5.0,164
1834492,44,3,72.0,10.0,54
1834492,134,5,84.0,7.0,36
1834493,45,5,79.4,12.0,53
1834493,50,3,73.0,3.0,51
1834494,42,5,77.2,6.0,64
1834494,109,5,75.8,7.0,71
1834495,42,5,78.8,5.0,56
1834495,4852,4,60.0,8.0,120
1834496,1206,4,64.5,15.0,102
1834496,7614,5,73.6,3.0,84
1834497,33,4,67.25,11.0,91
1834497,134,5,75.6,1.0,72
1834498,45,5,73.2,9.0,84
1834498,7614,3,79.33333333333333,7.0,33
1834499,796,5,55.4,6.0,173
1834499,1730,5,66.8,5.0,116
1834500,44,5,68.0,5.0,110
1834500,1211,5,69.8,5.0,101
1834501,109,3,78.0,7.0,37
1834501,283,5,80.4,7.0,48
1834502,41,5,80.6,11.0,47
1834502,4852,5,69.4,6.0,103
1834503,44,4,51.5,10.0,154
1834503,1206,5,75.4,4.0,73
1834504,33,5,64.8,12.0,126
1834504,50,5,69.4,10.0,103
1834505,36,5,61.8,3.0,141
1834505,134,5,77.6,6.0,62
1834506,36,5,84.2,6.0,31
1834506,1730,5,64.4,4.0,128
1834507,37,3,59.0,8.0,93
1834507,219,3,57.666666666666664,4.0,97
1834508,41,5,67.0,2.0,115
1834508,50,5,57.0,2.0,165
1834509,134,5,82.6,8.0,37
1834509,1206,5,61.0,10.0,145
1834510,33,4,66.0,4.0,96
1834510,37,2,70.0,12.0,40
1834511,109,4,71.25,6.0,75
1834511,796,5,69.2,9.0,104
1834512,44,4,67.75,7.0,89
1834512,45,5,82.4,4.0,41
1834513,42,4,80.75,6.0,39
1834513,283,4,82.25,9.0,31
1834514,283,4,81.0,3.0,42
1834514,4852,5,60.4,5.0,148
1834515,36,5,77.4,11.0,63
1834515,50,5,72.6,3.0,87
1834516,41,4,67.5,13.0,90
1834516,283,4,77.5,7.0,51
1834517,42,5,71.4,15.0,93
1834517,1730,5,70.8,6.0,96
1834518,37,5,79.4,12.0,53
1834518,7614,4,77.0,3.0,52
1834519,45,5,54.0,21.0,180
1834519,219,5,75.2,7.0,74
1834520,219,5,67.8,4.0,111
1834520,796,5,71.4,1.0,93
1834521,134,5,79.4,1.0,53
1834521,1211,5,68.4,10.0,108
1834522,109,4,78.75,7.0,47
1834522,7614,2,69.5,7.0,41
1834523,42,5,85.6,3.0,24
1834523,796,5,61.6,9.0,142
1834524,1206,5,67.6,10.0,112
1834524,1211,3,82.0,4.0,25
1834525,33,5,66.8,12.0,116
1834525,44,4,77.25,2.0,51
1834526,36,3,57.666666666666664,8.0,97
1834526,7614,5,61.0,3.0,145
1834527,109,4,84.0,7.0,25
1834527,4852,5,54.2,6.0,179
1834528,42,4,65.75,12.0,97
1834528,44,4,51.75,5.0,153
1834529,1206,5,78.6,3.0,57
1834529,1730,5,51.0,8.0,195
1834530,45,5,77.4,8.0,67
1834530,1211,4,74.0,14.0,64
1834531,42,5,69.8,4.0,101
1834531,7614,5,75.0,13.0,75
1834532,37,5,65.6,4.0,122
1834532,50,5,71.0,6.0,95
1834533,36,4,77.5,2.0,50
1834533,44,5,76.2,4.0,69
1834534,1730,5,68.2,6.0,109
1834534,4852,5,71.0,8.0,95
1834535,33,5,78.8,7.0,56
1834535,1211,5,54.4,10.0,178
1834536,33,5,65.8,16.0,121
1834536,1206,5,71.8,1.0,91
1834537,796,5,58.8,3.0,156
1834537,4852,5,65.2,9.0,124
1834538,41,5,70.0,6.0,100
1834538,219,4,74.25,8.0,63
1834539,50,5,75.0,8.0,75
1834539,1206,4,66.5,12.0,94
1834540,109,5,68.4,6.0,108
1834540,134,5,80.2,12.0,49
1834541,41,5,71.2,6.0,94
1834541,1730,5,65.2,4.0,124
1834542,283,5,79.4,7.0,58
1834542,796,5,60.6,9.0,147
1834543,109,5,53.0,10.0,185
1834543,219,5,75.2,2.0,74
1834544,36,5,63.8,5.0,131
1834544,1211,5,67.6,13.0,112
1834545,37,2,65.5,15.0,49
1834545,134,5,75.2,5.0,76
1834546,41,5,68.6,7.0,107
1834546,134,5,86.2,9.0,19
1834547,45,4,77.5,2.0,50
1834547,283,4,76.5,7.0,54
1834548,37,5,60.0,17.0,150
1834548,1206,5,70.6,6.0,97
1834549,33,5,76.2,5.0,69
1834549,45,5,52.0,14.0,190
1834550,37,5,74.4,9.0,80
1834550,4852,5,70.6,2.0,97
1834551,44,5,68.8,6.0,106
1834551,4852,5,63.0,8.0,135
1834552,45,5,69.4,10.0,103
1834552,1730,4,72.25,6.0,71
