season,season_label,team,player,age_ref
2324,2023/2024,RB Leipzig,El Chadaille Bitshiabu,19.123887748117728
2324,2023/2024,RB Leipzig,Eljif Elmas,24.76659822039699
2324,2023/2024,RB Leipzig,Emil Forsberg,32.68720054757016
2324,2023/2024,RB Leipzig,Fábio Carvalho,21.83436002737851
2324,2023/2024,RB Leipzig,Hugo Novoa,21.43189596167009
2324,2023/2024,RB Leipzig,Ilaix Moriba,21.44558521560575
2324,2023/2024,RB Leipzig,Janis Blaswich,33.399041752224505
2324,2023/2024,RB Leipzig,Jonathan Norbye,17.26488706365503
2324,2023/2024,RB Leipzig,Kevin Kampl,33.804243668720055
2324,2023/2024,RB Leipzig,Leopold Zingerle,29.738535249828885
2324,2023/2024,RB Leipzig,Loïs Openda,24.369609856262837
2324,2023/2024,RB Leipzig,Lukas Klostermann,28.317590691307323
2324,2023/2024,RB Leipzig,Mohamed Simakan,24.32032854209445
2324,2023/2024,RB Leipzig,Nicolas Seiwald,23.236139630390145
2324,2023/2024,RB Leipzig,Nuha Jatta,18.2943189596167
2324,2023/2024,RB Leipzig,Péter Gulácsi,34.06981519507187
2324,2023/2024,RB Leipzig,Tim Köhler,19.397672826830934
2324,2023/2024,RB Leipzig,Timo Werner,28.073921971252567
2324,2023/2024,RB Leipzig,Willi Orbán,32.303901437371664
2324,2023/2024,RB Leipzig,Xaver Schlager,26.75427789185489
2324,2023/2024,RB Leipzig,Xavi Simons,21.1937029431896
2324,2023/2024,RB Leipzig,Yannick Eduardo,18.43394934976044
2324,2023/2024,RB Leipzig,Yussuf Poulsen,30.04243668720055
2324,2023/2024,SC Freiburg,Attila Szalai,26.442162902121837
2324,2023/2024,SC Freiburg,Christian Günter,31.3347022587269
2324,2023/2024,SC Freiburg,Fabian Rudlin,27.460643394934976
2324,2023/2024,SC Freiburg,Florent Muslija,26.06433949349761
2324,2023/2024,SC Freiburg,Florian Müller,26.628336755646817
2324,2023/2024,SC Freiburg,Jordy Makengo,23.312799452429843
2324,2023/2024,SC Freiburg,Junior Adamu,23.066392881587955
2324,2023/2024,SC Freiburg,Kenneth Schmidt,22.31895961670089
2324,2023/2024,SC Freiburg,Keven Schlotterbeck,27.173169062286107
2324,2023/2024,SC Freiburg,Kiliann Sildillia,22.12457221081451
2324,2023/2024,SC Freiburg,Lucas Höler,29.730321697467488
2324,2023/2024,SC Freiburg,Lukas Kübler,31.83299110198494
2324,2023/2024,SC Freiburg,Manuel Gulde,32.577686516084874
2324,2023/2024,SC Freiburg,Matthias Ginter,30.444900752908968
2324,2023/2024,SC Freiburg,Max Rosenfelder,20.744695414099933
2324,2023/2024,SC Freiburg,Maximilian Breunig,23.87679671457905
2324,2023/2024,SC Freiburg,Maximilian Eggestein,27.88227241615332
2324,2023/2024,SC Freiburg,Maximilian Philipp,30.48870636550308
2324,2023/2024,SC Freiburg,Merlin Röhl,22.1492128678987
2324,2023/2024,SC Freiburg,Michael Gregoritsch,30.20123203285421
