season,season_label,game_id,team,avg_age,goals,shots,goals_per_shot
2425,2024/2025,711523,SC Freiburg,26.96551724137931,0,7,0.0
2425,2024/2025,711524,Borussia Mönchengladbach,26.06896551724138,2,15,0.13333333333333333
2425,2024/2025,711524,St. Pauli,26.176470588235293,0,15,0.0
2425,2024/2025,711525,Eintracht Frankfurt,25.266666666666666,1,15,0.06666666666666667
2425,2024/2025,711525,Werder Bremen,26.21875,0,8,0.0
2425,2024/2025,711526,Bayern Munich,25.970588235294116,3,33,0.09090909090909091
2425,2024/2025,711526,FC Augsburg,26.235294117647058,0,2,0.0
2425,2024/2025,711527,Holstein Kiel,27.107142857142858,0,7,0.0
2425,2024/2025,711527,Mainz,27.642857142857142,3,18,0.16666666666666666
2425,2024/2025,711528,RB Leipzig,24.37142857142857,3,14,0.21428571428571427
2425,2024/2025,711528,TSG Hoffenheim,25.714285714285715,4,20,0.2
2425,2024/2025,711529,VfB Stuttgart,25.15625,2,15,0.13333333333333333
2425,2024/2025,711529,VfL Bochum,27.580645161290324,0,9,0.0
2425,2024/2025,711530,1. FC Union Berlin,28.0,0,11,0.0
2425,2024/2025,711530,VfL Wolfsburg,25.4,1,10,0.1
2425,2024/2025,711531,1. FC Heidenheim 1846,27.79310344827586,0,8,0.0
2425,2024/2025,711531,Eintracht Frankfurt,25.266666666666666,4,14,0.2857142857142857
2425,2024/2025,711532,VfB Stuttgart,25.15625,2,10,0.2
2425,2024/2025,711532,Werder Bremen,26.21875,2,20,0.1
2425,2024/2025,711533,Borussia Mönchengladbach,26.06896551724138,1,15,0.06666666666666667
2425,2024/2025,711533,SC Freiburg,26.96551724137931,3,17,0.17647058823529413
2425,2024/2025,711534,RB Leipzig,24.37142857142857,1,9,0.1111111111111111
2425,2024/2025,711534,VfL Wolfsburg,25.4,5,13,0.38461538461538464
2425,2024/2025,711535,1. FC Union Berlin,28.0,1,8,0.125
2425,2024/2025,711535,Bayer Leverkusen,25.903225806451612,2,8,0.25
2425,2024/2025,711536,FC Augsburg,26.235294117647058,1,16,0.0625
2425,2024/2025,711536,VfL Bochum,27.580645161290324,0,7,0.0
2425,2024/2025,711537,Bayern Munich,25.970588235294116,1,14,0.07142857142857142
2425,2024/2025,711537,Borussia Dortmund,25.37142857142857,1,7,0.14285714285714285
2425,2024/2025,711538,Mainz,27.642857142857142,2,18,0.1111111111111111
2425,2024/2025,711538,TSG Hoffenheim,25.714285714285715,0,10,0.0
2425,2024/2025,711539,Holstein Kiel,27.107142857142858,1,10,0.1
2425,2024/2025,711539,St. Pauli,26.176470588235293,3,11,0.2727272727272727
2425,2024/2025,711540,Bayer Leverkusen,25.903225806451612,2,6,0.3333333333333333
2425,2024/2025,711540,St. Pauli,26.176470588235293,1,12,0.08333333333333333
2425,2024/2025,711541,Eintracht Frankfurt,25.266666666666666,2,16,0.125
2425,2024/2025,711541,FC Augsburg,26.235294117647058,2,8,0.25
2425,2024/2025,711542,1. FC Heidenheim 1846,27.79310344827586,2,2,1.0
2425,2024/2025,711542,Bayern Munich,25.970588235294116,4,21,0.19047619047619047
2425,2024/2025,711543,Holstein Kiel,27.107142857142858,0,17,0.0
2425,2024/2025,711543,RB Leipzig,24.37142857142857,2,9,0.2222222222222222
2425,2024/2025,711544,SC Freiburg,26.96551724137931,1,11,0.09090909090909091
2425,2024/2025,711544,TSG Hoffenheim,25.714285714285715,1,15,0.06666666666666667
2425,2024/2025,711545,1. FC Union Berlin,28.0,2,14,0.14285714285714285
2425,2024/2025,711545,VfB Stuttgart,25.15625,3,7,0.42857142857142855
2425,2024/2025,711546,VfL Bochum,27.580645161290324,0,12,0.0
2425,2024/2025,711546,Werder Bremen,26.21875,1,9,0.1111111111111111
2425,2024/2025,711547,Borussia Dortmund,25.37142857142857,1,16,0.0625
2425,2024/2025,711547,Borussia Mönchengladbach,26.06896551724138,1,9,0.1111111111111111
2425,2024/2025,711548,Mainz,27.642857142857142,3,12,0.25
2425,2024/2025,711548,VfL Wolfsburg,25.4,4,10,0.4
2425,2024/2025,711549,1. FC Heidenheim 1846,27.79310344827586,1,9,0.1111111111111111
